id	source	target
1063	A398	C587
1064	A399	B197
1065	A399	C538
1066	A399	C550
1067	A400	B311
1068	A400	C1179
1069	A400	C1182
1070	A401	B849
1071	A401	C1087
1072	A402	B236
1073	A402	C178
1074	A403	B332
1075	A403	C1110
1076	A403	C1138a
1077	A404	B306
1078	A404	C858
1079	A405	B190
1080	A405	C480
1081	A406	B630
1082	A406	C601
1083	A407	B531
1084	A407	C599
1085	A408	B626
1086	A408	C94
1087	A409	B780
1088	A409	C1452
1089	A410	B4
1090	A410	C870
1091	A411	B42
1092	A411	C1192
1093	A412	B656
1094	A412	C343
1095	A412	C354
1096	A412	C372
1097	A413	B496
1098	A413	C777
1099	A413	C807
1100	A414	B308
1101	A414	C920
1102	A415	B158
1103	A415	C133
1104	A415	C135
1105	A416	B668
1106	A416	C397
1107	A417	B753
1108	A417	C1174
1109	A417	C1176
1110	A418	B634
1111	A418	C995
1112	A418	C997
1113	A419	B574
1114	A419	C27
1115	A419	C37
1116	A419	C38
1117	A420	B630
1118	A420	C572
1119	A421	B7
1120	A421	C933
1121	A422	B712
1122	A422	C1206
1123	A423	B726
1124	A423	C200
1125	A424	B808
1126	A424	C1446
1127	A425	B146
1128	A425	C905
1129	A426	B544
1130	A426	C661
1131	A426	B571
1132	A426	C656
1133	A426	C659
1134	A427	B801
1135	A427	C1131
1136	A428	B197
1137	A428	C1287
1138	A428	C1295
1139	A429	B38
1140	A429	C1218
1141	A430	B18
1142	A430	C904
1143	A431	B516
1144	A431	C34
1145	A432	B63
1146	A432	C1236
1147	A433	B123
1148	A433	C218
1149	A434	B146
1150	A434	C912
1151	A434	C922
1152	A435	B844
1153	A435	C592
1154	A436	B700
1155	A436	C608
1156	A437	B337
1157	A437	C1089
1158	A437	C1091
1159	A437	C1094
1160	A438	B62
1161	A438	C1032
1162	A438	C1341
1163	A439	B180
1164	A439	C1143
1165	A440	B99
1166	A440	C140
1167	A441	B315
1168	A441	C23
1169	A441	C77
1170	A442	B529
1171	A442	C45
1172	A443	B849
1173	A443	C1087
1174	A444	B581
1175	A444	C51
1176	A445	B197
1177	A445	C552
1178	A446	B284
1179	A446	C1436
1180	A447	B8
1181	A447	C262
1182	A447	C265
1183	A448	B807
1184	A448	C920
1185	A449	B173
1186	A449	C748
1187	A450	B825
1188	A450	C1460
1189	A451	B83
1190	A451	C799
1191	A452	B540
1192	A452	C1085
1193	A453	B572
1194	A453	C1438
1195	A453	C1443
1196	A454	B554
1197	A454	C1052
1198	A454	C1071
1199	A455	B197
1200	A455	C541
1201	A456	B99
1202	A456	C112
1203	A457	B539
1204	A457	C1084
1205	A458	B262
1206	A458	C1264
1207	A458	C1266
1208	A459	B44
1209	A459	C592a
1210	A459a	B360
1211	A459a	C1458
1212	A460	B479
1213	A460	C1309
1214	A461	B14
1215	A461	C571
1216	A461	C609
1217	A461	C781
1218	A462	B729
1219	A462	C168
1220	A462	C490
1221	A462	C491
1222	A462	C492
1223	A462	C522
1224	A462	C524
1225	A462	C525
1226	A463	B122
1227	A463	C367
1228	A463	C444
1229	A463	B646
1230	A463	C387
1231	A463	C401
1232	A464	B8
1233	A464	C262
1234	A464	C274
1235	A465	B795
1236	A465	C1039
1237	A466	B657
1238	A466	C302
1239	A466	C318
1240	A466	C320
1241	A467	B787
1242	A467	C1459
1243	A468	B262
1244	A468	C662
1245	A468	C692
1246	A468	B416
1247	A468	C1265
1248	A469	B235
1249	A469	C1373
1250	A469	C1374
1251	A470	B513
1252	A470	C19
1253	A471	B837
1254	A471	C910
1255	A471	C911
1256	A471	C921
1257	A471	C938
1258	A471	C943
1259	A472	B808
1260	A472	C1446
1261	A472	C1454
1262	A474	B784
1263	A474	C1089
1264	A474	C1092
1265	A474	C1093
1266	A474	C1094
1267	A474	C1095
1268	A475	B538
1269	A475	C979
1270	A476	B306
1271	A476	C858
1272	A477	B531
1273	A477	C610
1274	A478	B475
1275	A478	C58
1276	A478	C60
1277	A479	B811
1278	A479	C1458
1279	A480	B544
1280	A480	C664
1281	A481	B196
1282	A481	C1454
1283	A482	B613
1284	A482	C311
1285	A483	B181
1286	A483	C988
1287	A484	B92
1288	A484	C1215
1289	A485	B52
1290	A485	C949
1291	A486	B228
1292	A486	C321
1293	A486	C1099a
1294	A486	C1100
1295	A486	C1101
1296	A487	B614
1297	A487	C359
1298	A488	B243
1299	A488	C418
1300	A489	B646
1301	A489	C235
1302	A489	C678
1303	A490	B442
1304	A490	C1221
1305	A491	B302
1306	A491	C784
1307	A491	C797
1308	A491	B492
1309	A491	C785
1310	A492	B160
1311	A492	C325
1312	A493	B667
1313	A493	C479
1314	A493	C521
1315	A494	B540
1316	A494	C1079
1317	A494	C1080
1318	A494	C1082
1319	A495	B506
1320	A495	C1010
1321	A495	C1011
1322	A495	C1036
1323	A495a	B577
1324	A495a	C630
1325	A496	B646
1326	A496	C178
1327	A496	C333
1328	A497	B725
1329	A497	C57
1330	A498	B718
1331	A498	C1252
1332	A499	B666
1333	A499	C28
1334	A500	B783
1335	A500	C1097
1336	A501	B707
1337	A501	C559
1338	A501	C561
1339	A502	B397
1340	A502	C352
1341	A502	C353
1342	A503	B55
1343	A503	C73
1344	A503	C79
1345	A504	B565
1346	A504	C1375
1347	A505	B563
1348	A505	C796a
1349	A506	B247
1350	A506	C1316
1351	A507	B576
1352	A507	C1117
1353	A508	B580
1354	A508	C960
1355	A509	B624
1356	A509	C1410
1357	A510	B276
1358	A510	C291
1359	A511	B274
1360	A511	C27
1361	A512	B466
1362	A512	C469
1363	A512	C473
1364	A513	B540
1365	A513	C1084
1366	A514	B155
1367	A514	C563
1368	A514a	B161
1369	A514a	C1458
1370	A515	B78
1371	A515	C1119
1372	A516	B186
1373	A516	C1117
1374	A517	B186
1375	A517	C1117
1376	A518	B743
1377	A518	C1129
1378	A519	B234
1379	A519	C1397
1380	A520	B187
1381	A520	C1119
1382	A521	B165
1383	A521	C1457
1384	A522	B454
1385	A522	C290
1386	A523	B357
1387	A523	C933
1388	A524	B144
1389	A524	C275
1390	A525	B83
1391	A525	C1302
1392	A525	C1408
1393	A526	B311
1394	A526	C1127
1395	A526a	B376
1396	A526a	C969
1397	A527	B357
1398	A527	C933
1399	A528	B813
1400	A528	C442
1401	A529	B294
1402	A529	C945
1403	A530	B255
1404	A530	C1282
1405	A531	B51
1406	A531	C20
1407	A531	B271
1408	A531	C19
1409	A531	B736
1410	A531	C8
1411	A532	B52
1412	A532	C947
1413	A533	B601
1414	A533	C1030
1415	A534	B687
1416	A534	C562
1417	A535	B218
1418	A535	C1177
1419	A536	B295
1420	A536	C1238
1421	A537	B598
1422	A537	C498
1423	A538	B284
1424	A538	C1431
1425	A539	B572
1426	A539	C1440
1427	A540	B555
1428	A540	C329
1429	A541	B682
1430	A541	C46
1431	A542	B804
1432	A542	C1138
1433	A543	B47
1434	A543	C487a
1435	A543	C497
1436	A543	C517
1437	A543	C660
1438	A543	C672
1439	A543	B843
1440	A543	C694
1441	A544	B429
1442	A544	C1376
1443	A545	B443
1444	A545	C283
1445	A545	C291
1446	A546	B335
1447	A546	C933
1448	A546	C1356
1449	A547	B187
1450	A547	C1119
1451	A548	B524
1452	A548	C1437
1453	A548	C1438
1454	A549	B419
1455	A549	C239
1456	A550	B10
1457	A550	C639
1458	A550	C640
1459	A550	C651
1460	A551	B168
1461	A551	C704
1462	A551	C708
1463	A551	C710
1464	A552	B272
1465	A552	C586
1466	A553	B669
1467	A553	C100
1468	A554	B733
1469	A554	C209
1470	A555	B24
1471	A555	C1061
1472	A556	B451
1473	A556	C1170
1474	A556	C1201
1475	A557	B291
1476	A557	C1283
1477	A558	B739
1478	A558	C1165
1479	A559	B67
1480	A559	C387
1481	A559	C401
1482	A560	B771
1483	A560	C1453
1484	A561	B309
1485	A561	C57
1486	A562	B378
1487	A562	C784
1488	A562	C795
1489	A563	B244
1490	A563	B474
1491	A563	C754
1492	A564	B267
1493	A564	C7
1494	A565	B793
1495	A565	C787
1496	A566	B786
1497	A566	C64
1498	A567	B345
1499	A567	C469
1500	A567	C473
1501	A568	B436
1502	A568	C864
1503	A569	B627
1504	A569	C1055
1505	A570	B242
1506	A570	C1084
1507	A571	B50
1508	A571	C1374
1509	A571	C1376
1510	A571	C1382
1511	A572	B178
1512	A572	C1317
1513	A573	B184
1514	A573	C1161
1515	A573	C1163
1516	A574	B332
1517	A574	C1119
1518	A574	C1125
1519	A575	B157
1520	A575	C1141
1521	A576	B504
1522	A576	C968
1523	A577	B600
1524	A577	C1436
1525	A578	B157
1526	A578	C1145
1527	A579	B342
1528	A579	C1186
1529	A580	B192
1530	A580	C1199
1531	A580	C1206
1532	A581	B809
1533	A581	C1095
1534	A582	B470
1535	A582	C418
1536	A583	B481
1537	A583	B498
1538	A583	C1117
1539	A584	B709
1540	A584	C565
1541	A584	C627
1542	A585	B14
1543	A585	C419
1544	A586	B642
1545	A586	C1215
1546	A587	B395
1547	A587	C1359
1548	A588	B148
1549	A588	C1361
1550	A589	B698
1551	A589	C178
1552	A590	B10
1553	A590	C595
1554	A590	C647
1555	A591	B824
1556	A591	C310314
1557	A592	B759
1558	A592	C20
1559	A593	B682
1560	A593	C49
1561	A594	B475
1562	A594	C856
1563	A594	C868
1564	A595	B247
1565	A595	C1310
1566	A595	C1326
1567	A596	B275
1568	A596	C1157
1569	A597	B197
1570	A597	C438
1571	A597	B249
1572	A597	C154
1573	A598	B517
1574	A598	C497
1575	A598	C535
1576	A598	C547
1577	A599	B520
1578	A599	C63
1579	A599	C66
1580	A599	C67
1581	A600	B473
1582	A600	C114
1583	A601	B103
1584	A601	C1366
1585	A602	B699
1586	A602	C1117
1587	A603	B783
1588	A603	C1097
1589	A604	B311
1590	A604	C1186
1591	A605	B305
1592	A605	C18
1593	A606	B696
1594	A606	C105
1595	A606	C121
1596	A607	B196
1597	A607	C1453
1598	A607	C1454
1599	A608	B112
1600	A608	C1157
1601	A609	B194
1602	A609	C609
1603	A609	C641
1604	A609	C789
1605	A610	B194
1606	A610	C780
1607	A610	C781
1608	A610	C783
1609	A610	C784
1610	A610	C792
1611	A610	C800
1612	A610	C805
1613	A610	C806
1614	A610	B284
1615	A610	C1389
1616	A610	C1434
1617	A611	B194
1618	A612	B395
1619	A612	C1362
1620	A613	B198
1621	A613	C1117
1622	A613	C1131
1623	A613	C1135
