id	source	target
1519	B333	C1247
1520	B334	A643
1521	B334	A1296
1522	B334	C996
1523	B334	C1285
1524	B335	A546
1525	B335	A1827
1526	B335	A2072a
1527	B335	A2182
1528	B335	C933
1529	B335	C1353
1530	B335	C1356
1531	B336	A1407
1532	B336	A1643
1533	B336	C707
1534	B336	C716
1535	B336	C830
1536	B337	A437
1537	B337	A2085
1538	B337	A2171
1539	B337	C1079
1540	B337	C1080
1541	B337	C1089
1542	B337	C1091
1543	B337	C1094
1544	B338	A1051
1545	B338	C392
1546	B339	A1665
1547	B339	C276
1548	B339	C331
1549	B340	A951
1550	B340	C512
1551	B340	C1320
1552	B340	C1328
1553	B341	A1284
1554	B341	C1084
1555	B342	A579
1556	B342	A2098
1557	B342	C1136
